Date,Open,High,Low,Close,Adj Close,Volume
2011-07-29,71.690002,71.690002,71.690002,71.690002,51.121292,0
2011-08-01,71.470001,71.470001,71.470001,71.470001,50.964409,0
2011-08-02,69.519997,69.519997,69.519997,69.519997,49.573891,0
2011-08-03,69.050003,69.050003,69.050003,69.050003,49.238735,0
2011-08-04,64.320000,64.320000,64.320000,64.320000,45.865833,0
2011-08-05,63.820000,63.820000,63.820000,63.820000,45.509285,0
2011-08-08,58.490002,58.490002,58.490002,58.490002,41.708534,0
2011-08-09,61.529999,61.529999,61.529999,61.529999,43.876312,0
2011-08-10,59.360001,59.360001,59.360001,59.360001,42.328915,0
2011-08-11,62.330002,62.330002,62.330002,62.330002,44.446789,0
2011-08-12,62.810001,62.810001,62.810001,62.810001,44.789078,0
2011-08-15,64.839996,64.839996,64.839996,64.839996,46.236641,0
2011-08-16,63.709999,63.709999,63.709999,63.709999,45.430855,0
2011-08-17,64.029999,64.029999,64.029999,64.029999,45.659042,0
2011-08-18,60.480000,60.480000,60.480000,60.480000,43.127579,0
2011-08-19,59.230000,59.230000,59.230000,59.230000,42.236217,0
2011-08-22,58.980000,58.980000,58.980000,58.980000,42.057941,0
2011-08-23,61.330002,61.330002,61.330002,61.330002,43.733707,0
2011-08-24,61.590000,61.590000,61.590000,61.590000,43.919109,0
2011-08-25,60.200001,60.200001,60.200001,60.200001,42.927910,0
2011-08-26,61.279999,61.279999,61.279999,61.279999,43.698048,0
2011-08-29,63.049999,63.049999,63.049999,63.049999,44.960209,0
2011-08-30,63.610001,63.610001,63.610001,63.610001,45.359547,0
2011-08-31,64.260002,64.260002,64.260002,64.260002,45.823048,0
2011-09-01,63.680000,63.680000,63.680000,63.680000,45.409458,0
2011-09-02,61.980000,61.980000,61.980000,61.980000,44.197208,0
2011-09-06,60.959999,60.959999,60.959999,60.959999,43.469864,0
2011-09-07,63.119999,63.119999,63.119999,63.119999,45.010132,0
2011-09-08,62.450001,62.450001,62.450001,62.450001,44.532356,0
2011-09-09,60.320000,60.320000,60.320000,60.320000,43.013481,0
2011-09-12,60.279999,60.279999,60.279999,60.279999,42.984959,0
